id,mes,central,agente,descripcion,tecnologia_descripcion,tecnologia,factor_disp_tec_porcentaje,fecha_proceso,lote_id_log,indice_tiempo
121998,1,VGES,CATLANTG,C.COSTA ATLANTICA,Turbina a gas,TG,0.9993585174625802,2020-05-05 11:07:57.624983,67,2017-01-01
121999,1,VGES,CTGESELG,CT VILLA GESELL-CATLANT.,Turbina a gas,TG,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
122000,1,VIAL,CTVIALAG,CT VIALE - AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
122001,1,VMAR,EPECORDG,EPEC GENERACION,Turbina a gas,TG,0.8464200397401264,2020-05-05 11:07:57.624983,67,2017-01-01
122002,1,VOBL,CTVOBLIG,CT VUELTA DE OBLIGADO,Turbina a gas,TG,0.6480699509490296,2020-05-05 11:07:57.624983,67,2017-01-01
122003,1,VTUD,CTVTUESG,CT VENADO TUERTO - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-01-01
122004,1,DFUM,EPECORDG,EPEC GENERACION,Motor Diesel,DI,0.0,2020-05-05 11:07:57.624983,67,2017-01-01
122005,2,ABRO,CTBROWNG,C.T. ALMIRANTE BROWN,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122006,2,ACAJ,CAPEXSAG,C.T. AGUA DEL CAJON,Ciclos Combinados,CC,0.7122057652492435,2020-05-05 11:07:57.624983,67,2017-02-01
122007,2,AESP,CTAESPAG,C.T. AES PARANA,Ciclos Combinados,CC,0.9301752963826124,2020-05-05 11:07:57.624983,67,2017-02-01
122008,2,ALEM,CTALEMAG,CT ALEM - AGGREKO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122009,2,ALUM,CTALUMSG,CT ALUMINÉ - SECCO,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122010,2,ANAT,CTANA2SG,CT AÑATUYA II - SULLAIR,Motor Diesel,DI,0.9146520146520146,2020-05-05 11:07:57.624983,67,2017-02-01
122011,2,ANAT,CTANATSG,CT AÑATUYA - SULLAIR,Motor Diesel,DI,1.0,2020-05-05 11:07:57.624983,67,2017-02-01
122012,2,ARGE,SIDERCAC,SIDERCA SA(EX ARGENER-GEN.PAR),Turbina a gas,TG,0.9975689239392556,2020-05-05 11:07:57.624983,67,2017-02-01
